FID,CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Cl,CHSA_Pop16,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
1,1110,Fernie,1110 Fernie,111,Fernie,111 Fernie,001,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,5 Rural Hub,15531,8043.8,49.417397,-114.917924,19065095661.125,1057610.38042275
2,1120,Cranbrook,1120 Cranbrook,112,Cranbrook,112 Cranbrook,002,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,4 Small Urban,26248,4473.71,49.552631,-115.593391,10602419936.4844,752612.411193392
3,1130,Kimberley,1130 Kimberley,113,Kimberley,113 Kimberley,003,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural,9178,4345.66,49.804307,-116.055836,10421294217.3594,675573.421035055
4,1140,Windermere,1140 Windermere,114,Windermere,114 Windermere,004,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural,9487,10980.52,50.534955,-115.965026,27148198322.6406,1131209.46195022
5,1150,Creston,1150 Creston,115,Creston,115 Creston,005,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural,12634,3793.89,49.247658,-116.571432,8894436701.07813,500296.562780594
6,1160,Golden,1160 Golden,116,Golden,116 Golden,018,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural,6851,13347.11,51.60957,-117.318897,34561924208.5469,1335005.00903341
7,1210,Kootenay Lake,1210 Kootenay Lake,121,Kootenay Lake,121 Kootenay Lake,006,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural,3209,6543.23,50.29662,-116.964848,16017767692.0156,955782.629086636
8,1220,Nelson,1220 Nelson,122,Nelson,122 Nelson,007,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural,25523,4809.42,49.502751,-117.350074,11389351229.1563,672090.004004922
9,1230,Castlegar,1230 Castlegar,123,Castlegar,123 Castlegar,009,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,5 Rural Hub,13710,1942.58,49.398678,-117.914255,4587578619.45313,442602.432911105
10,1240,Arrow Lakes,1240 Arrow Lakes,124,Arrow Lakes,124 Arrow Lakes,010,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural,4501,7391.98,50.241121,-117.783158,18051527984.7031,959405.688850411
11,1250,Trail,1250 Trail,125,Trail,125 Trail,011,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,4 Small Urban,19367,1131.23,49.124559,-117.809889,2641968183.25,251278.955228857
12,1260,Grand Forks,1260 Grand Forks,126,Grand Forks,126 Grand Forks,012,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural,8611,2691.95,49.34925,-118.401057,6337245331.70313,479750.132823006
13,1270,Kettle Valley,1270 Kettle Valley,127,Kettle Valley,127 Kettle Valley,013,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural,3469,4347.28,49.413808,-118.944075,10260455229.9219,562476.998715436
14,1310,Southern Okanagan,1310 Southern Okanagan,131,Southern Okanagan,131 Southern Okanagan,014,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub,19231,1304.34,49.20982,-119.448355,3053234224.77344,264979.948431259
15,1320,Penticton,1320 Penticton,132,Penticton,132 Penticton,015,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,3 Medium Urban,41799,1562.86,49.535438,-119.529268,3708951672.41406,390674.651517612
16,1330,Keremeos,1330 Keremeos,133,Keremeos,133 Keremeos,016,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural,5101,2479.93,49.222987,-120.03667,5813843180.64844,454423.576841107
17,1340,Princeton,1340 Princeton,134,Princeton,134 Princeton,017,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub,4781,4826.04,49.465568,-120.567596,11414845339.2344,719167.924567612
18,1350,Armstrong/Spallumcheen,1350 Armstrong/Spallumcheen,135,Armstrong/Spallumcheen,135 Armstrong/Spallumcheen,021,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub,10220,263.75,50.445902,-119.212326,649570853.3125,154408.799515475
19,1361,Vernon Centre/Coldstream,1361 Vernon Centre/Coldstream,136,Vernon,136 Vernon,022,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,3 Medium Urban,53266,190.64,50.239894,-119.303996,465359685.40625,213934.772643424
20,1362,North Okanagan/Lumby,1362 North Okanagan/Lumby,136,Vernon,136 Vernon,022,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural,13583,5394.88,50.261449,-118.75231,13186333442.5625,1158390.71481648
21,1371,Central Okanagan Rural,1371 Central Okanagan Rural,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub,8720,2324.37,49.980895,-119.26301,5612544101.97656,802587.758514103
22,1372,West Kelowna,1372 West Kelowna,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban,41482,127.39,49.84386,-119.585506,306043202.304688,101129.792395262
23,1373,Lake Country,1373 Lake Country,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural,12922,162.37,50.077117,-119.399741,393772778.960938,102276.334436684
24,1374,Glenmore,1374 Glenmore,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban,33401,125.72,49.950001,-119.401823,303299751.148438,95703.5688099089
25,1375,Downtown Kelowna,1375 Downtown Kelowna,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban,38661,38.17,49.876283,-119.485844,91818478.953125,57673.8448129749
26,1376,Rutland,1376 Rutland,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban,34796,42,49.883441,-119.365549,101040325.226563,45952.7389141689
27,1377,Okanagan Mission,1377 Okanagan Mission,137,Central Okanagan,137 Central Okanagan,023,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban,24900,90.75,49.821989,-119.471217,217780453.3125,86447.3337886326
28,1380,Summerland,1380 Summerland,138,Summerland,138 Summerland,077,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub,12110,615.74,49.629565,-119.852005,1466250723.875,196597.387514819
29,1390,Enderby,1390 Enderby,139,Enderby,139 Enderby,078,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural,7285,1865.96,50.641937,-118.753164,4639201927.03906,406896.782284042
30,1410,Revelstoke,1410 Revelstoke,141,Revelstoke,141 Revelstoke,019,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,5 Rural Hub,8085,9320.32,51.389437,-118.206429,23905589647.8438,1063477.77897563
31,1420,Salmon Arm,1420 Salmon Arm,142,Salmon Arm,142 Salmon Arm,020,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,4 Small Urban,33648,3155.97,50.842622,-119.030894,7904718196.76563,681680.522477595
32,1431,Kamloops Centre North,1431 Kamloops Centre North,143,Kamloops,143 Kamloops,024,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,3 Medium Urban,44714,252.48,50.728888,-120.298027,629788006.328125,195003.620911964
33,1432,Kamloops Centre South,1432 Kamloops Centre South,143,Kamloops,143 Kamloops,024,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,3 Medium Urban,48587,204.49,50.650039,-120.315597,508064758.039063,152164.694279532
34,1433,Lower Thompson,1433 Lower Thompson,143,Kamloops,143 Kamloops,024,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,19986,16047.76,51.026278,-119.971276,40530721131.8672,1551281.65568172
35,1440,100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,025,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,14112,10958.62,51.630916,-121.242638,28375283967.1641,847261.145918213
36,1450,North Thompson,1450 North Thompson,145,North Thompson,145 North Thompson,026,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,4050,12521.05,52.133973,-119.682727,33183315924.7344,1177509.18015202
37,1462,Williams Lake/East Cariboo,1462 Williams Lake/East Cariboo,146,Cariboo/Chilcotin,146 Cariboo/Chilcotin,027,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,22165,12026.69,52.385671,-121.355064,32266424331.4375,1262750.69868199
38,1470,Lillooet,1470 Lillooet,147,Lillooet,147 Lillooet,029,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,4012,7422.41,50.789007,-122.39113,18556882350.5078,1011605.57673884
39,1480,South Cariboo,1480 South Cariboo,148,South Cariboo,148 South Cariboo,030,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,6548,9317.38,50.626936,-121.467749,23169755590.3438,1372929.05393072
40,1490,Merritt,1490 Merritt,149,Merritt,149 Merritt,031,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural,10855,6557.64,50.083169,-120.549031,15907532327.3125,851085.840149815
41,2110,Hope,2110 Hope,211,Hope,211 Hope,032,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,5 Rural Hub,8129,5292.47,49.592517,-121.336747,12576500306.8281,960566.971083947
42,2121,South Chilliwack,2121 South Chilliwack,212,Chilliwack,212 Chilliwack,033,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,51241,1143.94,49.102573,-121.688776,2666421518.90625,293974.13302679
43,2122,North Chilliwack,2122 North Chilliwack,212,Chilliwack,212 Chilliwack,033,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,41936,164.6,49.184957,-121.889327,384900296.851563,147249.511962805
44,2131,Central Abbotsford,2131 Central Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,22754,8.81,49.048247,-122.292291,20498117.578125,26230.1769689347
45,2132,East Abbotsford,2132 East Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,35584,83.15,49.091095,-122.191622,193704869.4375,79770.5227645878
46,2133,West Abbotsford,2133 West Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,58511,20.17,49.060139,-122.335901,46932637.8828125,36562.056305948
47,2134,Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural,24836,299.72,49.027937,-122.372476,697618078.84375,212502.033983586
48,2142,North Mission,2142 North Mission,214,Mission,214 Mission,075,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural,16854,1425.94,49.400662,-122.273823,3363687412.25781,429540.459841939
49,2150,Agassiz/Harrison,2150 Agassiz/Harrison,215,Agassiz/Harrison,215 Agassiz/Harrison,076,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,5 Rural Hub,9696,4111.86,49.680442,-122.046328,9818252210.79688,748117.342327253
50,2210,New Westminster,2210 New Westminster,221,New Westminster,221 New Westminster,040,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,70996,18.59,49.214744,-122.914242,43520225.75,33330.847036783
51,2221,Burnaby Northwest,2221 Burnaby Northwest,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,47161,16.2,49.273549,-122.994662,38017834.234375,28868.6953962818
52,2222,Burnaby Northeast,2222 Burnaby Northeast,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,45434,29.84,49.265624,-122.931331,70002729.6171875,35575.4068587911
53,2223,Burnaby Southwest,2223 Burnaby Southwest,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,81414,31.03,49.221844,-122.994161,72667506.4140625,40521.5118233779
54,2224,Burnaby Southeast,2224 Burnaby Southeast,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58746,14.89,49.226176,-122.941219,34884913.1640625,30219.8544668828
55,2231,Haney,2231 Haney,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,30824,13.46,49.221694,-122.594828,31509566.9453125,28875.8513020028
56,2232,Pitt Meadows,2232 Pitt Meadows,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,18835,96.4,49.271344,-122.661486,226212553.867188,87605.8873633939
57,2233,Maple Ridge Rural,2233 Maple Ridge Rural,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,51442,1350.62,49.585121,-122.565285,3210775143.90625,507818.332986075
58,2241,North Coquitlam,2241 North Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,40842,606.63,49.442494,-122.736455,1433297809.85156,183934.527490844
59,2242,Southwest Coquitlam,2242 Southwest Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,70406,24.63,49.260824,-122.838651,57791504.1796875,46610.1265530705
60,2244,Port Coquitlam,2244 Port Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58612,34.54,49.258314,-122.762147,80998448.9453125,46761.7043786743
61,2245,Port Moody/Anmore/Belcarra,2245 Port Moody/Anmore/Belcarra,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,36404,61.14,49.322649,-122.863,143766663.523438,90001.1156490255
62,2311,City of Langley,2311 City of Langley,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,25888,10.22,49.09869,-122.659729,23821164.2109375,21937.8549360634
63,2313,Willoughby,2313 Willoughby,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,31567,21.91,49.138421,-122.649935,51144519.5859375,30726.9363828803
64,2314,Brookswood/Murrayville,2314 Brookswood/Murrayville,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,22090,23.45,49.080072,-122.638906,54601706.6015625,54082.4154759251
65,2315,Aldergrove/Otter,2315 Aldergrove/Otter,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban,13204,16.4,49.056318,-122.503818,38149621.2265625,41811.5119040264
66,2316,North Langley Township,2316 North Langley Township,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural,12653,109.7,49.116908,-122.530078,255829653.34375,75383.4960271162
67,2317,South Langley Township,2317 South Langley Township,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural,8789,102.09,49.033133,-122.575349,237288709.554688,84889.149799029
68,2321,North Delta,2321 North Delta,232,Delta,232 Delta,037,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,56017,21.1,49.142664,-122.907753,49262996.3515625,36988.3181410818
69,2323,Tsawwassen,2323 Tsawwassen,232,Delta,232 Delta,037,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban,22225,20.32,49.025319,-123.078355,47211078.671875,48869.0505672641
70,2332,North Surrey,2332 North Surrey,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,51161,18.64,49.190775,-122.871358,43609120.0234375,29816.5220311395
71,2333,Cloverdale,2333 Cloverdale,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,69963,71.48,49.108937,-122.731765,166634035.476563,73172.7926390874
72,2334,Panorama,2334 Panorama,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,45391,39.4,49.09705,-122.829482,91810418.359375,55261.4261399221
73,2335,East Newton,2335 East Newton,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,62748,21.9,49.135239,-122.82444,51101614.6875,40643.1556000934
74,2336,Fleetwood,2336 Fleetwood,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58701,15.83,49.159956,-122.78726,36969651.2109375,32682.9316446636
75,2337,Guildford,2337 Guildford,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,60538,53,49.18521,-122.751213,123950468.453125,59215.8830737859
76,2338,West Newton,2338 West Newton,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,41463,9.81,49.14245,-122.877013,22895660.890625,24453.9455556913
77,2341,South Surrey,2341 South Surrey,234,South Surrey/White Rock,234 South Surrey/White Rock,202,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,74816,81.27,49.040243,-122.755638,188942934.453125,80129.0593671149
78,2342,White Rock,2342 White Rock,234,South Surrey/White Rock,234 South Surrey/White Rock,202,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,19952,5.12,49.025765,-122.805856,11906394.1171875,18840.0486147341
79,3111,Richmond City Centre,3111 Richmond City Centre,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,54587,9.8,49.173416,-123.135806,22900097.2109375,25505.0479769375
